Season,Team,Actual SOS,Predicted SOS
2001,Atlanta Falcons,0.531,0.477
2001,Cincinnati Bengals,0.531,0.496
2001,Arizona Cardinals,0.445,0.500
2001,Miami Dolphins,0.500,0.520
2001,Chicago Bears,0.465,0.488
2001,Indianapolis Colts,0.562,0.539
2001,Tennessee Titans,0.520,0.516
2001,Philadelphia Eagles,0.484,0.465
2001,Dallas Cowboys,0.500,0.496
2001,San Diego Chargers,0.484,0.465
2001,New England Patriots,0.449,0.492
2001,New York Giants,0.520,0.508
2001,Washington Redskins,0.473,0.461
2001,St Louis Rams,0.473,0.512
2001,Jacksonville Jaguars,0.523,0.500
2001,Minnesota Vikings,0.523,0.574
2001,Oakland Raiders,0.469,0.484
2001,Seattle Seahawks,0.453,0.496
2001,Carolina Panthers,0.574,0.484
2001,Baltimore Ravens,0.512,0.500
2001,Tampa Bay Buccaneers,0.535,0.555
2001,Detroit Lions,0.582,0.480
2001,Green Bay Packers,0.434,0.531
2001,Kansas City Chiefs,0.516,0.504
2002,Pittsburgh Steelers,0.486,0.430
2002,New Orleans Saints,0.498,0.477
2002,Cleveland Browns,0.486,0.457
2002,Buffalo Bills,0.473,0.512
2002,Denver Broncos,0.527,0.527
2002,New York Jets,0.500,0.484
2002,San Francisco 49ers,0.504,0.543
2002,Atlanta Falcons,0.494,0.461
2002,Cincinnati Bengals,0.537,0.434
2002,Miami Dolphins,0.508,0.488
2002,Indianapolis Colts,0.479,0.438
2002,Chicago Bears,0.521,0.477
2002,Arizona Cardinals,0.500,0.520
2002,Houston Texans,0.518,0.441
2002,Dallas Cowboys,0.500,0.453
2002,Tennessee Titans,0.479,0.438
2002,Philadelphia Eagles,0.469,0.480
2002,New England Patriots,0.525,0.504
2002,San Diego Chargers,0.492,0.512
2002,New York Giants,0.482,0.473
2002,Oakland Raiders,0.529,0.527
2002,St Louis Rams,0.508,0.539
2002,Jacksonville Jaguars,0.506,0.426
2002,Minnesota Vikings,0.498,0.504
2002,Washington Redskins,0.527,0.492
2002,Seattle Seahawks,0.506,0.539
2002,Carolina Panthers,0.486,0.492
2002,Tampa Bay Buccaneers,0.482,0.480
2002,Detroit Lions,0.494,0.512
2002,Baltimore Ravens,0.506,0.445
2002,Green Bay Packers,0.451,0.465
2002,Kansas City Chiefs,0.527,0.531
2003,New Orleans Saints,0.500,0.520
2003,Cleveland Browns,0.539,0.480
2003,Pittsburgh Steelers,0.500,0.473
2003,Buffalo Bills,0.570,0.504
2003,Denver Broncos,0.500,0.494
2003,San Francisco 49ers,0.512,0.451
2003,New York Jets,0.527,0.541
2003,Atlanta Falcons,0.539,0.523
2003,Cincinnati Bengals,0.457,0.508
2003,Chicago Bears,0.488,0.480
2003,Arizona Cardinals,0.543,0.443
2003,Indianapolis Colts,0.492,0.518
2003,Miami Dolphins,0.512,0.516
2003,Philadelphia Eagles,0.477,0.541
2003,Tennessee Titans,0.473,0.523
2003,Dallas Cowboys,0.461,0.541
2003,Houston Texans,0.570,0.533
2003,San Diego Chargers,0.504,0.486
2003,New England Patriots,0.484,0.527
2003,New York Giants,0.555,0.521
2003,Oakland Raiders,0.516,0.482
2003,Minnesota Vikings,0.457,0.479
2003,Jacksonville Jaguars,0.543,0.537
2003,St Louis Rams,0.434,0.457
2003,Washington Redskins,0.531,0.537
2003,Seattle Seahawks,0.465,0.443
2003,Carolina Panthers,0.445,0.523
2003,Tampa Bay Buccaneers,0.508,0.539
2003,Detroit Lions,0.535,0.473
2003,Baltimore Ravens,0.457,0.480
2003,Kansas City Chiefs,0.418,0.475
2003,Green Bay Packers,0.488,0.449
2004,New Orleans Saints,0.465,0.504
2004,Buffalo Bills,0.512,0.512
2004,Cleveland Browns,0.590,0.484
2004,Pittsburgh Steelers,0.484,0.477
2004,Denver Broncos,0.484,0.488
2004,San Francisco 49ers,0.488,0.512
2004,New York Jets,0.523,0.512
2004,Atlanta Falcons,0.434,0.488
2004,Cincinnati Bengals,0.543,0.512
2004,Arizona Cardinals,0.461,0.523
2004,Chicago Bears,0.465,0.496
2004,Miami Dolphins,0.555,0.531
2004,Indianapolis Colts,0.500,0.508
2004,Dallas Cowboys,0.516,0.469
2004,Philadelphia Eagles,0.453,0.473
2004,Houston Texans,0.504,0.512
2004,Tennessee Titans,0.512,0.484
2004,San Diego Chargers,0.477,0.508
2004,New England Patriots,0.492,0.512
2004,New York Giants,0.516,0.480
2004,Minnesota Vikings,0.480,0.496
2004,St Louis Rams,0.488,0.512
2004,Jacksonville Jaguars,0.527,0.516
2004,Washington Redskins,0.477,0.492
2004,Oakland Raiders,0.570,0.512
2004,Carolina Panthers,0.508,0.492
2004,Seattle Seahawks,0.445,0.516
2004,Detroit Lions,0.496,0.492
2004,Baltimore Ravens,0.551,0.508
2004,Tampa Bay Buccaneers,0.477,0.484
2004,Green Bay Packers,0.457,0.508
2004,Kansas City Chiefs,0.551,0.488
2005,New Orleans Saints,0.523,0.492
2005,Pittsburgh Steelers,0.492,0.508
2005,Buffalo Bills,0.500,0.531
2005,Cleveland Browns,0.508,0.527
2005,Denver Broncos,0.500,0.523
2005,San Francisco 49ers,0.539,0.469
2005,New York Jets,0.527,0.535
2005,Atlanta Falcons,0.492,0.500
2005,Cincinnati Bengals,0.477,0.523
2005,Indianapolis Colts,0.457,0.504
2005,Arizona Cardinals,0.508,0.449
2005,Chicago Bears,0.457,0.480
2005,Miami Dolphins,0.457,0.547
2005,Philadelphia Eagles,0.531,0.453
2005,Dallas Cowboys,0.523,0.477
2005,Tennessee Titans,0.512,0.492
2005,Houston Texans,0.535,0.504
2005,San Diego Chargers,0.559,0.543
2005,New England Patriots,0.508,0.539
2005,New York Giants,0.492,0.488
2005,St Louis Rams,0.484,0.445
2005,Jacksonville Jaguars,0.465,0.504
2005,Minnesota Vikings,0.484,0.480
2005,Washington Redskins,0.539,0.465
2005,Oakland Raiders,0.539,0.527
2005,Seattle Seahawks,0.430,0.457
2005,Carolina Panthers,0.449,0.492
2005,Baltimore Ravens,0.523,0.531
2005,Detroit Lions,0.504,0.488
2005,Tampa Bay Buccaneers,0.449,0.492
2005,Green Bay Packers,0.531,0.496
2005,Kansas City Chiefs,0.504,0.535
2006,Cleveland Browns,0.535,0.512
2006,New Orleans Saints,0.461,0.539
2006,Buffalo Bills,0.574,0.477
2006,Pittsburgh Steelers,0.496,0.531
2006,Denver Broncos,0.531,0.516
2006,San Francisco 49ers,0.500,0.477
2006,New York Jets,0.469,0.465
2006,Atlanta Falcons,0.457,0.508
2006,Cincinnati Bengals,0.535,0.543
2006,Indianapolis Colts,0.500,0.484
2006,Arizona Cardinals,0.500,0.500
2006,Chicago Bears,0.430,0.445
2006,Miami Dolphins,0.543,0.469
2006,Dallas Cowboys,0.457,0.504
2006,Houston Texans,0.504,0.523
2006,Philadelphia Eagles,0.477,0.520
2006,Tennessee Titans,0.570,0.527
2006,San Diego Chargers,0.457,0.488
2006,New England Patriots,0.496,0.473
2006,New York Giants,0.520,0.543
2006,Oakland Raiders,0.555,0.516
2006,Washington Redskins,0.512,0.516
2006,Minnesota Vikings,0.488,0.457
2006,Jacksonville Jaguars,0.531,0.488
2006,St Louis Rams,0.465,0.508
2006,Carolina Panthers,0.473,0.504
2006,Seattle Seahawks,0.453,0.457
2006,Detroit Lions,0.523,0.473
2006,Tampa Bay Buccaneers,0.535,0.539
2006,Baltimore Ravens,0.461,0.523
2006,Green Bay Packers,0.500,0.449
2006,Kansas City Chiefs,0.492,0.527
2007,Cleveland Browns,0.430,0.508
2007,Pittsburgh Steelers,0.453,0.512
2007,Buffalo Bills,0.516,0.539
2007,New Orleans Saints,0.480,0.484
2007,Denver Broncos,0.516,0.504
2007,San Francisco 49ers,0.465,0.469
2007,New York Jets,0.523,0.516
2007,Cincinnati Bengals,0.461,0.512
2007,Atlanta Falcons,0.516,0.473
2007,Arizona Cardinals,0.434,0.461
2007,Chicago Bears,0.543,0.465
2007,Miami Dolphins,0.539,0.512
2007,Indianapolis Colts,0.516,0.516
2007,Dallas Cowboys,0.496,0.496
2007,Philadelphia Eagles,0.562,0.500
2007,Tennessee Titans,0.500,0.520
2007,Houston Texans,0.516,0.504
2007,San Diego Chargers,0.500,0.504
2007,New England Patriots,0.469,0.535
2007,New York Giants,0.516,0.496
2007,Oakland Raiders,0.516,0.539
2007,Washington Redskins,0.555,0.500
2007,Minnesota Vikings,0.504,0.500
2007,St Louis Rams,0.512,0.473
2007,Jacksonville Jaguars,0.516,0.508
2007,Seattle Seahawks,0.414,0.488
2007,Carolina Panthers,0.523,0.477
2007,Baltimore Ravens,0.516,0.508
2007,Detroit Lions,0.543,0.504
2007,Tampa Bay Buccaneers,0.469,0.473
2007,Green Bay Packers,0.469,0.492
2007,Kansas City Chiefs,0.516,0.516
2008,Cleveland Browns,0.572,0.547
2008,New Orleans Saints,0.496,0.449
2008,Buffalo Bills,0.453,0.449
2008,Pittsburgh Steelers,0.525,0.598
2008,Denver Broncos,0.457,0.445
2008,San Francisco 49ers,0.447,0.484
2008,New York Jets,0.471,0.457
2008,Atlanta Falcons,0.459,0.461
2008,Cincinnati Bengals,0.553,0.547
2008,Indianapolis Colts,0.498,0.594
2008,Chicago Bears,0.475,0.531
2008,Arizona Cardinals,0.486,0.465
2008,Miami Dolphins,0.461,0.465
2008,Dallas Cowboys,0.498,0.523
2008,Philadelphia Eagles,0.514,0.520
2008,Tennessee Titans,0.459,0.543
2008,Houston Texans,0.518,0.547
2008,San Diego Chargers,0.516,0.422
2008,New England Patriots,0.480,0.387
2008,New York Giants,0.502,0.520
2008,Oakland Raiders,0.520,0.438
2008,Minnesota Vikings,0.504,0.551
2008,St Louis Rams,0.533,0.488
2008,Jacksonville Jaguars,0.537,0.559
2008,Washington Redskins,0.479,0.523
2008,Carolina Panthers,0.488,0.465
2008,Seattle Seahawks,0.498,0.477
2008,Tampa Bay Buccaneers,0.480,0.469
2008,Detroit Lions,0.559,0.543
2008,Baltimore Ravens,0.521,0.551
2008,Green Bay Packers,0.504,0.531
2008,Kansas City Chiefs,0.537,0.453
2009,Buffalo Bills,0.516,0.570
2009,New Orleans Saints,0.426,0.557
2009,Cleveland Browns,0.512,0.449
2009,Pittsburgh Steelers,0.488,0.434
2009,Denver Broncos,0.527,0.480
2009,San Francisco 49ers,0.477,0.443
2009,New York Jets,0.516,0.568
2009,Cincinnati Bengals,0.492,0.465
2009,Atlanta Falcons,0.504,0.588
2009,Chicago Bears,0.496,0.414
2009,Arizona Cardinals,0.445,0.441
2009,Indianapolis Colts,0.473,0.512
2009,Miami Dolphins,0.559,0.594
2009,Dallas Cowboys,0.488,0.516
2009,Houston Texans,0.504,0.506
2009,Philadelphia Eagles,0.484,0.535
2009,Tennessee Titans,0.539,0.508
2009,San Diego Chargers,0.453,0.484
2009,New England Patriots,0.516,0.590
2009,New York Giants,0.535,0.527
2009,Oakland Raiders,0.527,0.480
2009,St Louis Rams,0.520,0.465
2009,Washington Redskins,0.492,0.492
2009,Jacksonville Jaguars,0.496,0.516
2009,Minnesota Vikings,0.441,0.420
2009,Seattle Seahawks,0.477,0.457
2009,Carolina Panthers,0.539,0.592
2009,Tampa Bay Buccaneers,0.555,0.580
2009,Detroit Lions,0.523,0.467
2009,Baltimore Ravens,0.523,0.438
2009,Green Bay Packers,0.441,0.428
2009,Kansas City Chiefs,0.516,0.484
2010,Cleveland Browns,0.570,0.516
2010,Pittsburgh Steelers,0.500,0.492
2010,Buffalo Bills,0.578,0.500
2010,New Orleans Saints,0.469,0.469
2010,Denver Broncos,0.516,0.484
2010,New York Jets,0.492,0.500
2010,San Francisco 49ers,0.488,0.457
2010,Cincinnati Bengals,0.582,0.539
2010,Atlanta Falcons,0.484,0.496
2010,Arizona Cardinals,0.465,0.445
2010,Indianapolis Colts,0.473,0.516
2010,Chicago Bears,0.473,0.504
2010,Miami Dolphins,0.539,0.500
2010,Dallas Cowboys,0.512,0.543
2010,Philadelphia Eagles,0.492,0.520
2010,Tennessee Titans,0.508,0.547
2010,Houston Texans,0.523,0.547
2010,San Diego Chargers,0.457,0.453
2010,New England Patriots,0.504,0.531
2010,New York Giants,0.453,0.527
2010,Washington Redskins,0.516,0.523
2010,St Louis Rams,0.449,0.449
2010,Oakland Raiders,0.469,0.500
2010,Jacksonville Jaguars,0.453,0.535
2010,Minnesota Vikings,0.539,0.504
2010,Seattle Seahawks,0.484,0.453
2010,Carolina Panthers,0.574,0.477
2010,Baltimore Ravens,0.484,0.508
2010,Tampa Bay Buccaneers,0.477,0.480
2010,Detroit Lions,0.543,0.508
2010,Kansas City Chiefs,0.414,0.488
2010,Green Bay Packers,0.520,0.488
2011,Cleveland Browns,0.531,0.492
2011,Buffalo Bills,0.520,0.535
2011,Pittsburgh Steelers,0.492,0.473
2011,New Orleans Saints,0.441,0.508
2011,Denver Broncos,0.520,0.520
2011,New York Jets,0.500,0.520
2011,San Francisco 49ers,0.449,0.465
2011,Cincinnati Bengals,0.492,0.473
2011,Atlanta Falcons,0.480,0.492
2011,Miami Dolphins,0.504,0.516
2011,Arizona Cardinals,0.469,0.441
2011,Indianapolis Colts,0.539,0.520
2011,Chicago Bears,0.527,0.500
2011,Dallas Cowboys,0.473,0.504
2011,Tennessee Titans,0.461,0.488
2011,Philadelphia Eagles,0.488,0.504
2011,Houston Texans,0.453,0.516
2011,New England Patriots,0.449,0.504
2011,San Diego Chargers,0.516,0.520
2011,New York Giants,0.520,0.492
2011,Oakland Raiders,0.504,0.492
2011,Minnesota Vikings,0.559,0.516
2011,Washington Redskins,0.477,0.473
2011,Jacksonville Jaguars,0.500,0.520
2011,St Louis Rams,0.590,0.477
2011,Seattle Seahawks,0.512,0.488
2011,Carolina Panthers,0.504,0.555
2011,Tampa Bay Buccaneers,0.551,0.496
2011,Detroit Lions,0.535,0.520
2011,Baltimore Ravens,0.477,0.457
2011,Kansas City Chiefs,0.512,0.520
2011,Green Bay Packers,0.457,0.508
2012,Pittsburgh Steelers,0.465,0.500
2012,New Orleans Saints,0.521,0.504
2012,Buffalo Bills,0.480,0.473
2012,Cleveland Browns,0.508,0.527
2012,Denver Broncos,0.457,0.543
2012,San Francisco 49ers,0.504,0.488
2012,New York Jets,0.512,0.492
2012,Cincinnati Bengals,0.438,0.500
2012,Atlanta Falcons,0.422,0.488
2012,Arizona Cardinals,0.559,0.512
2012,Miami Dolphins,0.500,0.496
2012,Chicago Bears,0.512,0.492
2012,Indianapolis Colts,0.441,0.500
2012,Houston Texans,0.496,0.473
2012,Tennessee Titans,0.512,0.480
2012,Philadelphia Eagles,0.508,0.516
2012,Dallas Cowboys,0.523,0.504
2012,San Diego Chargers,0.457,0.520
2012,New England Patriots,0.496,0.453
2012,New York Giants,0.521,0.547
2012,Oakland Raiders,0.469,0.496
2012,St Louis Rams,0.539,0.523
2012,Minnesota Vikings,0.520,0.512
2012,Jacksonville Jaguars,0.539,0.500
2012,Washington Redskins,0.494,0.488
2012,Seattle Seahawks,0.504,0.504
2012,Carolina Panthers,0.516,0.508
2012,Baltimore Ravens,0.496,0.523
2012,Tampa Bay Buccaneers,0.502,0.484
2012,Detroit Lions,0.566,0.492
2012,Green Bay Packers,0.508,0.469
2012,Kansas City Chiefs,0.516,0.492
2013,Buffalo Bills,0.520,0.473
2013,Cleveland Browns,0.516,0.492
2013,Pittsburgh Steelers,0.469,0.492
2013,New Orleans Saints,0.516,0.510
2013,Denver Broncos,0.469,0.430
2013,New York Jets,0.488,0.496
2013,San Francisco 49ers,0.494,0.461
2013,Cincinnati Bengals,0.480,0.508
2013,Atlanta Falcons,0.553,0.475
2013,Miami Dolphins,0.523,0.520
2013,Indianapolis Colts,0.484,0.432
2013,Chicago Bears,0.465,0.473
2013,Arizona Cardinals,0.531,0.461
2013,Houston Texans,0.559,0.443
2013,Philadelphia Eagles,0.453,0.496
2013,Dallas Cowboys,0.484,0.445
2013,Tennessee Titans,0.504,0.459
2013,San Diego Chargers,0.496,0.457
2013,New England Patriots,0.473,0.508
2013,New York Giants,0.520,0.480
2013,Washington Redskins,0.516,0.498
2013,Jacksonville Jaguars,0.504,0.479
2013,Oakland Raiders,0.523,0.469
2013,Minnesota Vikings,0.512,0.516
2013,St. Louis Rams,0.551,0.539
2013,Carolina Panthers,0.494,0.514
2013,Seattle Seahawks,0.490,0.457
2013,Tampa Bay Buccaneers,0.574,0.471
2013,Detroit Lions,0.457,0.539
2013,Baltimore Ravens,0.484,0.535
2013,Kansas City Chiefs,0.445,0.473
2013,Green Bay Packers,0.453,0.533
2014,Buffalo Bills,0.516,0.500
2014,New Orleans Saints,0.486,0.469
2014,Cleveland Browns,0.479,0.465
2014,Pittsburgh Steelers,0.451,0.469
2014,Denver Broncos,0.521,0.570
2014,San Francisco 49ers,0.527,0.562
2014,New York Jets,0.543,0.520
2014,Atlanta Falcons,0.482,0.512
2014,Cincinnati Bengals,0.498,0.469
2014,Arizona Cardinals,0.523,0.547
2014,Chicago Bears,0.529,0.496
2014,Miami Dolphins,0.512,0.508
2014,Indianapolis Colts,0.479,0.430
2014,Tennessee Titans,0.506,0.438
2014,Philadelphia Eagles,0.490,0.479
2014,Dallas Cowboys,0.445,0.488
2014,Houston Texans,0.447,0.441
2014,San Diego Chargers,0.512,0.562
2014,New England Patriots,0.514,0.516
2014,New York Giants,0.512,0.465
2014,St. Louis Rams,0.531,0.564
2014,Minnesota Vikings,0.475,0.477
2014,Jacksonville Jaguars,0.514,0.453
2014,Washington Redskins,0.496,0.490
2014,Oakland Raiders,0.570,0.578
2014,Carolina Panthers,0.490,0.473
2014,Seattle Seahawks,0.525,0.561
2014,Detroit Lions,0.471,0.492
2014,Baltimore Ravens,0.475,0.461
2014,Tampa Bay Buccaneers,0.486,0.484
2014,Kansas City Chiefs,0.512,0.559
2014,Green Bay Packers,0.482,0.504
